assigned_to_detail,id,creator_detail,resolution,creator,last_change_time,priority,status,dupe_of,component,severity,assigned_to,creation_time,product
"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'email': 'hallski', 'name': 'hallski'}",18,"{'id': 4, 'real_name': 'Tod M. Neidt', 'email': 'tneidt', 'name': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-04T18:48:23Z,Gentoo Linux
"{'name': 'azarah', 'email': 'azarah', 'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12}",19,"{'email': 'drobbins', 'name': 'drobbins', 'id': 8, 'real_name': 'Daniel Robbins (RETIRED)'}",FIXED,drobbins,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,azarah,2002-01-04T18:52:46Z,Gentoo Linux
"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'name': 'hallski', 'email': 'hallski'}",20,"{'name': 'tneidt', 'email': 'tneidt', 'real_name': 'Tod M. Neidt', 'id': 4}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-04T18:58:49Z,Gentoo Linux
"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'email': 'hallski', 'name': 'hallski'}",21,"{'email': 'tneidt', 'name': 'tneidt', 'real_name': 'Tod M. Neidt', 'id': 4}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,hallski,2002-01-04T19:03:45Z,Gentoo Linux
"{'real_name': 'Daniel Robbins (RETIRED)', 'id': 8, 'name': 'drobbins', 'email': 'drobbins'}",22,"{'email': 'gentoo', 'name': 'gentoo', 'real_name': 'Michael Tartsch', 'id': 16}",FIXED,gentoo,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,minor,drobbins,2002-01-04T19:11:00Z,Gentoo Linux
"{'name': 'kabau', 'email': 'kabau', 'id': 1, 'real_name': 'Damon Conway (RETIRED)'}",23,"{'id': 4, 'real_name': 'Tod M. Neidt', 'email': 'tneidt', 'name': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,major,kabau,2002-01-04T19:13:59Z,Gentoo Linux
"{'email': 'kabau', 'name': 'kabau', 'real_name': 'Damon Conway (RETIRED)', 'id': 1}",24,"{'email': 'tneidt', 'name': 'tneidt', 'real_name': 'Tod M. Neidt', 'id': 4}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,major,kabau,2002-01-04T19:15:32Z,Gentoo Linux
"{'name': 'kabau', 'email': 'kabau', 'id': 1, 'real_name': 'Damon Conway (RETIRED)'}",25,"{'id': 4, 'real_name': 'Tod M. Neidt', 'email': 'tneidt', 'name': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,kabau,2002-01-04T19:18:26Z,Gentoo Linux
"{'email': 'kabau', 'name': 'kabau', 'real_name': 'Damon Conway (RETIRED)', 'id': 1}",26,"{'email': 'tneidt', 'name': 'tneidt', 'id': 4, 'real_name': 'Tod M. Neidt'}",FIXED,tneidt,2003-05-07T08:58:34Z,High,RESOLVED,,Current packages,normal,kabau,2002-01-04T19:21:53Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",27,"{'name': 'hallski', 'email': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",INVALID,hallski,2003-02-04T19:42:18Z,High,RESOLVED,,New packages,normal,hallski,2002-01-04T19:37:04Z,Gentoo Linux
"{'real_name': 'Geert Bevin', 'id': 5, 'email': 'gbevin', 'name': 'gbevin'}",28,"{'id': 4, 'real_name': 'Tod M. Neidt', 'name': 'tneidt', 'email': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,gbevin,2002-01-04T19:44:19Z,Gentoo Linux
"{'email': 'bart', 'name': 'bart', 'id': 14, 'real_name': 'Bart Verwilst'}",29,"{'id': 4, 'real_name': 'Tod M. Neidt', 'email': 'tneidt', 'name': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,bart,2002-01-04T19:55:27Z,Gentoo Linux
"{'id': 84, 'real_name': 'Tod M. Neidt (RETIRED)', 'email': 'tod', 'name': 'tod'}",30,"{'id': 4, 'real_name': 'Tod M. Neidt', 'name': 'tneidt', 'email': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Library,normal,tod,2002-01-04T19:58:29Z,Gentoo Linux
"{'real_name': 'Tod M. Neidt (RETIRED)', 'id': 84, 'email': 'tod', 'name': 'tod'}",31,"{'id': 4, 'real_name': 'Tod M. Neidt', 'name': 'tneidt', 'email': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,tod,2002-01-04T20:10:43Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",32,"{'id': 4, 'real_name': 'Tod M. Neidt', 'name': 'tneidt', 'email': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-04T20:12:51Z,Gentoo Linux
"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'name': 'hallski', 'email': 'hallski'}",33,"{'name': 'tneidt', 'email': 'tneidt', 'id': 4, 'real_name': 'Tod M. Neidt'}",FIXED,tneidt,2022-03-26T03:17:01Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-04T20:23:32Z,Gentoo Linux
"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'name': 'hallski', 'email': 'hallski'}",34,"{'email': 'tneidt', 'name': 'tneidt', 'id': 4, 'real_name': 'Tod M. Neidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-04T20:44:34Z,Gentoo Linux
"{'email': 'tod', 'name': 'tod', 'id': 84, 'real_name': 'Tod M. Neidt (RETIRED)'}",35,"{'id': 4, 'real_name': 'Tod M. Neidt', 'email': 'tneidt', 'name': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,tod,2002-01-04T20:51:40Z,Gentoo Linux
"{'real_name': 'Grant Goodyear (RETIRED)', 'id': 9, 'email': 'g2boojum', 'name': 'g2boojum'}",36,"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",INVALID,hallski,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] GNOME,normal,g2boojum,2002-01-04T22:29:59Z,Gentoo Linux
"{'email': 'danarmak', 'name': 'danarmak', 'id': 10, 'real_name': 'Dan Armak (RETIRED)'}",37,"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'email': 'hallski', 'name': 'hallski'}",FIXED,hallski,2003-02-04T19:42:18Z,Normal,RESOLVED,,[OLD] KDE,normal,danarmak,2002-01-04T22:33:20Z,Gentoo Linux
"{'email': 'azarah', 'name': 'azarah', 'id': 12, 'real_name': 'Martin Schlemmer (RETIRED)'}",38,"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'name': 'hallski', 'email': 'hallski'}",FIXED,hallski,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,azarah,2002-01-04T22:45:34Z,Gentoo Linux
"{'email': 'azarah', 'name': 'azarah', 'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12}",39,"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'email': 'hallski', 'name': 'hallski'}",FIXED,hallski,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,azarah,2002-01-04T22:47:10Z,Gentoo Linux
"{'email': 'danarmak', 'name': 'danarmak', 'real_name': 'Dan Armak (RETIRED)', 'id': 10}",40,"{'id': 20, 'real_name': 'Tom von Schwerdtner', 'email': 'tvon', 'name': 'tvon'}",FIXED,tvon,2002-01-05T11:20:49Z,High,RESOLVED,,Current packages,normal,danarmak,2002-01-05T07:07:28Z,Gentoo Linux
"{'real_name': 'Daniel Robbins (RETIRED)', 'id': 8, 'email': 'drobbins', 'name': 'drobbins'}",41,"{'email': 'lotia', 'name': 'lotia', 'id': 23, 'real_name': 'ali asad lotia'}",FIXED,lotia,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,drobbins,2002-01-05T14:46:43Z,Gentoo Linux
"{'id': 1, 'real_name': 'Damon Conway (RETIRED)', 'email': 'kabau', 'name': 'kabau'}",42,"{'real_name': 'Tod M. Neidt', 'id': 4, 'email': 'tneidt', 'name': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,kabau,2002-01-05T15:12:24Z,Gentoo Linux
"{'name': 'mbutcher', 'email': 'mbutcher', 'real_name': 'Matt Butcher', 'id': 26}",43,"{'real_name': 'Matt Butcher', 'id': 26, 'name': 'mbutcher', 'email': 'mbutcher'}",FIXED,mbutcher,2003-02-04T19:42:18Z,Normal,RESOLVED,,Current packages,normal,mbutcher,2002-01-05T16:20:52Z,Gentoo Linux
"{'name': 'kabau', 'email': 'kabau', 'id': 1, 'real_name': 'Damon Conway (RETIRED)'}",44,"{'id': 4, 'real_name': 'Tod M. Neidt', 'name': 'tneidt', 'email': 'tneidt'}",FIXED,tneidt,2007-03-28T12:33:35Z,High,RESOLVED,,[OLD] Development,normal,kabau,2002-01-05T17:03:55Z,Gentoo Linux
"{'id': 8, 'real_name': 'Daniel Robbins (RETIRED)', 'name': 'drobbins', 'email': 'drobbins'}",45,"{'id': 4, 'real_name': 'Tod M. Neidt', 'email': 'tneidt', 'name': 'tneidt'}",FIXED,tneidt,2007-02-28T11:36:07Z,High,RESOLVED,,[OLD] Development,normal,drobbins,2002-01-05T23:19:11Z,Gentoo Linux
"{'name': 'azarah', 'email': 'azarah', 'id': 12, 'real_name': 'Martin Schlemmer (RETIRED)'}",46,"{'name': 'hallski', 'email': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",DUPLICATE,hallski,2005-07-17T13:06:51Z,High,RESOLVED,2355.0,[OLD] Core system,normal,azarah,2002-01-06T03:59:04Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",47,"{'real_name': 'Shahar Goldin', 'id': 31, 'name': 'aldarsior', 'email': 'aldarsior'}",INVALID,aldarsior,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-06T04:52:51Z,Gentoo Linux
"{'real_name': 'Daniel Robbins (RETIRED)', 'id': 8, 'email': 'drobbins', 'name': 'drobbins'}",48,"{'email': 'vitaly_kushneriuk', 'name': 'vitaly_kushneriuk', 'id': 32, 'real_name': 'Vitaly Kushneriuk'}",FIXED,vitaly_kushneriuk,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,drobbins,2002-01-06T05:24:09Z,Gentoo Linux
"{'email': 'danarmak', 'name': 'danarmak', 'real_name': 'Dan Armak (RETIRED)', 'id': 10}",49,"{'email': 'protrans', 'name': 'protrans', 'real_name': '', 'id': 33}",FIXED,protrans,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] KDE,normal,danarmak,2002-01-06T05:51:35Z,Gentoo Linux
"{'id': 8, 'real_name': 'Daniel Robbins (RETIRED)', 'email': 'drobbins', 'name': 'drobbins'}",50,"{'name': 'vitaly_kushneriuk', 'email': 'vitaly_kushneriuk', 'real_name': 'Vitaly Kushneriuk', 'id': 32}",FIXED,vitaly_kushneriuk,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,drobbins,2002-01-06T07:08:22Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",51,"{'real_name': 'Geert Bevin', 'id': 5, 'email': 'gbevin', 'name': 'gbevin'}",FIXED,gbevin,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] GNOME,normal,hallski,2002-01-06T08:09:22Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",52,"{'name': 'sebastian', 'email': 'sebastian', 'id': 34, 'real_name': 'Sebastian Werner'}",INVALID,sebastian,2021-08-18T10:30:01Z,High,RESOLVED,,[OLD] GNOME,normal,hallski,2002-01-06T08:24:47Z,Gentoo Linux
"{'email': 'zhen', 'name': 'zhen', 'id': 1972, 'real_name': 'John Davis (zhen) (RETIRED)'}",53,"{'real_name': 'Dan Armak (RETIRED)', 'id': 10, 'email': 'danarmak', 'name': 'danarmak'}",FIXED,danarmak,2024-05-18T16:20:32Z,Lowest,RESOLVED,,Bugzilla,blocker,zhen,2002-01-06T12:05:43Z,Gentoo Infrastructure
"{'real_name': 'Daniel Robbins (RETIRED)', 'id': 8, 'email': 'drobbins', 'name': 'drobbins'}",54,"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'name': 'hallski', 'email': 'hallski'}",REMIND,hallski,2005-08-22T15:25:42Z,High,VERIFIED,,[OLD] Core system,normal,drobbins,2002-01-06T15:04:50Z,Gentoo Linux
"{'id': 8, 'real_name': 'Daniel Robbins (RETIRED)', 'name': 'drobbins', 'email': 'drobbins'}",55,"{'real_name': 'TheMadHatter', 'id': 36, 'name': 'jean-baptiste.note', 'email': 'jean-baptiste.note'}",FIXED,jean-baptiste.note,2003-01-28T00:30:44Z,High,RESOLVED,,[OLD] Core system,normal,drobbins,2002-01-06T17:29:23Z,Gentoo Linux
"{'email': 'kain', 'name': 'kain', 'real_name': 'Bryon Roche (RETIRED)', 'id': 573}",56,"{'email': 'jean-baptiste.note', 'name': 'jean-baptiste.note', 'real_name': 'TheMadHatter', 'id': 36}",FIXED,jean-baptiste.note,2009-08-21T11:14:08Z,High,RESOLVED,,[OLD] Core system,major,kain,2002-01-06T17:53:30Z,Gentoo Linux
"{'name': 'hallski', 'email': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",57,"{'real_name': 'Tod M. Neidt', 'id': 4, 'name': 'tneidt', 'email': 'tneidt'}",FIXED,tneidt,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] GNOME,normal,hallski,2002-01-06T18:00:34Z,Gentoo Linux
"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'name': 'hallski', 'email': 'hallski'}",58,"{'name': 'karl', 'email': 'karl', 'real_name': 'Karl Haines', 'id': 37}",FIXED,karl,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,major,hallski,2002-01-06T18:01:06Z,Gentoo Linux
"{'name': 'kabau', 'email': 'kabau', 'id': 1, 'real_name': 'Damon Conway (RETIRED)'}",59,"{'real_name': 'TheMadHatter', 'id': 36, 'email': 'jean-baptiste.note', 'name': 'jean-baptiste.note'}",FIXED,jean-baptiste.note,2002-12-15T21:08:50Z,High,VERIFIED,,Other,normal,kabau,2002-01-06T18:11:15Z,[OLD] Docs-user
"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'name': 'hallski', 'email': 'hallski'}",60,"{'real_name': 'Nils Ohlmeier', 'id': 38, 'name': 'develop', 'email': 'develop'}",FIXED,develop,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-06T22:11:25Z,Gentoo Linux
"{'real_name': 'Thilo Bangert (RETIRED) (RETIRED)', 'id': 324, 'name': 'bangert', 'email': 'bangert'}",61,"{'real_name': 'Daniel Robbins (RETIRED)', 'id': 8, 'email': 'drobbins', 'name': 'drobbins'}",FIXED,drobbins,2011-10-30T22:21:52Z,High,RESOLVED,,Unclassified,major,bangert,2002-01-06T22:33:15Z,Portage Development
"{'id': 5, 'real_name': 'Geert Bevin', 'name': 'gbevin', 'email': 'gbevin'}",62,"{'id': 8, 'real_name': 'Daniel Robbins (RETIRED)', 'email': 'drobbins', 'name': 'drobbins'}",FIXED,drobbins,2011-10-30T22:20:51Z,High,RESOLVED,,Unclassified,normal,gbevin,2002-01-06T22:33:58Z,Portage Development
"{'name': 'gbevin', 'email': 'gbevin', 'id': 5, 'real_name': 'Geert Bevin'}",63,"{'email': 'drobbins', 'name': 'drobbins', 'id': 8, 'real_name': 'Daniel Robbins (RETIRED)'}",FIXED,drobbins,2011-10-30T22:20:27Z,High,RESOLVED,,Unclassified,normal,gbevin,2002-01-06T22:34:20Z,Portage Development
"{'email': 'danarmak', 'name': 'danarmak', 'real_name': 'Dan Armak (RETIRED)', 'id': 10}",64,"{'id': 38, 'real_name': 'Nils Ohlmeier', 'email': 'develop', 'name': 'develop'}",INVALID,develop,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] KDE,normal,danarmak,2002-01-06T23:29:06Z,Gentoo Linux
"{'email': 'gbevin', 'name': 'gbevin', 'id': 5, 'real_name': 'Geert Bevin'}",65,"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",FIXED,hallski,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,gbevin,2002-01-07T01:23:14Z,Gentoo Linux
"{'name': 'hallski', 'email': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",66,"{'email': 'ceed', 'name': 'ceed', 'real_name': 'Christian Rubbert', 'id': 39}",INVALID,ceed,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,minor,hallski,2002-01-07T02:25:42Z,Gentoo Linux
"{'real_name': 'Donny Davies (RETIRED)', 'id': 13, 'name': 'woodchip', 'email': 'woodchip'}",67,"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'email': 'hallski', 'name': 'hallski'}",FIXED,hallski,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Server,major,woodchip,2002-01-07T02:57:31Z,Gentoo Linux
"{'email': 'kabau', 'name': 'kabau', 'id': 1, 'real_name': 'Damon Conway (RETIRED)'}",68,"{'id': 23, 'real_name': 'ali asad lotia', 'email': 'lotia', 'name': 'lotia'}",FIXED,lotia,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Server,normal,kabau,2002-01-07T09:17:06Z,Gentoo Linux
"{'name': 'hallski', 'email': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",69,"{'name': 'mbutcher', 'email': 'mbutcher', 'id': 26, 'real_name': 'Matt Butcher'}",INVALID,mbutcher,2003-02-04T19:42:18Z,High,RESOLVED,,New packages,normal,hallski,2002-01-07T11:57:21Z,Gentoo Linux
"{'name': 'drobbins', 'email': 'drobbins', 'real_name': 'Daniel Robbins (RETIRED)', 'id': 8}",70,"{'email': 'mbutcher', 'name': 'mbutcher', 'id': 26, 'real_name': 'Matt Butcher'}",FIXED,mbutcher,2003-02-04T19:42:18Z,High,VERIFIED,,Other,enhancement,drobbins,2002-01-07T13:22:14Z,[OLD] Docs-user
"{'name': 'zhen', 'email': 'zhen', 'real_name': 'John Davis (zhen) (RETIRED)', 'id': 1972}",71,"{'real_name': 'Tod M. Neidt', 'id': 4, 'name': 'tneidt', 'email': 'tneidt'}",FIXED,tneidt,2011-10-30T23:16:39Z,High,RESOLVED,,Bugzilla,normal,zhen,2002-01-07T13:34:34Z,Gentoo Infrastructure
"{'id': 9, 'real_name': 'Grant Goodyear (RETIRED)', 'email': 'g2boojum', 'name': 'g2boojum'}",72,"{'real_name': 'Gontran Zepeda', 'id': 43, 'name': 'gontran', 'email': 'gontran'}",FIXED,gontran,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Development,normal,g2boojum,2002-01-07T13:37:47Z,Gentoo Linux
"{'id': 19, 'real_name': 'Karl Trygve Kalleberg (RETIRED)', 'name': 'karltk', 'email': 'karltk'}",73,"{'real_name': 'Dan Armak (RETIRED)', 'id': 10, 'email': 'danarmak', 'name': 'danarmak'}",FIXED,danarmak,2002-01-12T19:40:08Z,High,RESOLVED,,[OLD] Development,normal,karltk,2002-01-07T15:53:15Z,Gentoo Linux
"{'email': 'azarah', 'name': 'azarah', 'id': 12, 'real_name': 'Martin Schlemmer (RETIRED)'}",74,"{'name': 'thezulk', 'email': 'thezulk', 'id': 44, 'real_name': 'Andreas'}",FIXED,thezulk,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,major,azarah,2002-01-07T18:38:47Z,Gentoo Linux
"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'name': 'hallski', 'email': 'hallski'}",75,"{'real_name': 'Charles Kerr', 'id': 42, 'name': 'punt', 'email': 'punt'}",DUPLICATE,punt,2005-07-17T13:06:51Z,High,RESOLVED,74.0,New packages,normal,hallski,2002-01-07T19:00:36Z,Gentoo Linux
"{'name': 'danarmak', 'email': 'danarmak', 'id': 10, 'real_name': 'Dan Armak (RETIRED)'}",76,"{'id': 43, 'real_name': 'Gontran Zepeda', 'name': 'gontran', 'email': 'gontran'}",FIXED,gontran,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] KDE,normal,danarmak,2002-01-07T20:41:47Z,Gentoo Linux
